pt,row_count,positive_rate,mature_for_modeling
20260217,60824,0.5164737603577535,True
20260218,62294,0.5354448261469804,True
20260219,63677,0.5292491794525496,True
20260220,65258,0.5176376842685955,True
20260221,65717,0.48466911149322095,True
20260222,63920,0.47648623279098873,True
20260223,60456,0.4868995633187773,True
20260224,58345,0.48737681035221525,True
20260225,68035,0.43324759315058425,True
20260226,67753,0.4517438342213629,True
20260227,65063,0.473218265373561,True
20260228,64735,0.46966864910790146,True
20260301,63839,0.45033600150378295,True
20260302,61511,0.45419518460112823,True
20260303,59200,0.4729222972972973,True
20260304,53787,0.48727387658727944,True
20260305,51256,0.49018651474949276,True
20260306,53099,0.4807058513343001,True
20260307,54547,0.48994445157387206,True
20260308,54577,0.49009656082232445,True
20260309,55145,0.49908423247801253,True
20260310,54912,0.509833916083916,True
20260311,57077,0.5207877078332779,True
20260312,62887,0.5096124795267702,True
20260313,66480,0.520367027677497,True
20260314,71460,0.5151273439686538,True
20260315,73650,0.5093550577053632,True
20260316,73930,0.5359935073718383,True
20260317,76406,0.5379289584587598,True
20260318,77926,0.546608320714524,True
20260319,82796,0.5251099086912411,True
20260320,83325,0.5063426342634263,True
20260321,82953,0.5151109664508818,True
20260322,81366,0.5078042425583167,True
20260323,81583,0.5016241128666511,True
20260324,78295,0.5069544670796348,True
20260325,79500,0.505811320754717,True
20260326,77984,0.5125795034878949,True
20260327,76367,0.535191902261448,True
20260328,77214,0.5363276089828269,True
20260329,80862,0.5275407484356064,True
20260330,78626,0.5381425991402335,True
20260331,80785,0.5193785975119143,True
20260401,88515,0.4961644918940293,True
20260402,88671,0.48946104137767704,True
20260403,92764,0.4701931783881678,True
20260404,91594,0.47973666397362275,True
20260405,93572,0.47783524986106957,True
20260406,95980,0.4786309647843301,True
20260407,92884,0.49286206451057235,True
20260408,92165,0.5016329409211739,True
20260409,98331,0.481384304034333,True
20260410,89456,0.5116370059023431,True
20260411,88944,0.512333603166037,True
20260412,86202,0.5190830839191666,True
20260413,85904,0.5209070590426522,True
20260414,85115,0.5281207777712507,True
20260415,87235,0.5282627385796985,True
20260416,90104,0.5309087276924442,True
20260417,89849,0.5297999977740431,True
20260418,90083,0.5266698489171098,True
20260419,90489,0.5090121451226116,True
20260420,92920,0.5054024967714162,True
20260421,95794,0.48108441029709587,True
20260422,91300,0.4998904709748083,True
20260423,92211,0.516174859832341,True
20260424,92420,0.5275914304263146,True
20260425,96511,0.5388504937261037,True
20260426,109002,0.5154951285297518,True
20260427,110181,0.5178932846861074,True
20260428,117385,0.510175916854794,True
20260429,114830,0.5258469041191326,True
20260430,113768,0.5295865269671612,True
20260501,117939,0.48542890816439005,True
