split,segment_value,row_count,positive_count,prevalence,eligible_for_threshold_grid
validation,V3,233189,131890,0.5655927166375773,True
validation,V1,193980,81483,0.42005876894525207,True
validation,V4,107670,64961,0.6033342620971487,True
validation,V2,65958,35107,0.532262955213924,True
validation,V5,10444,6730,0.6443891229414017,True
validation,V6,1207,831,0.6884838442419221,True
validation,V7,427,259,0.6065573770491803,False
validation,V8,421,267,0.6342042755344418,False
validation,UNKNOWN,57,8,0.14035087719298245,False
test,V3,558380,313318,0.5611196676098714,True
test,V1,440892,171507,0.3890000272175499,True
test,V4,232768,144587,0.6211635620016497,True
test,V2,164784,83699,0.5079315953005146,True
test,V5,23978,15902,0.6631912586537659,True
test,V6,2504,1617,0.6457667731629393,True
test,V7,741,480,0.6477732793522267,False
test,V8,663,443,0.6681749622926093,False
test,UNKNOWN,123,23,0.18699186991869918,False
